TesT
TesT
Floor : 3
123
123
Floor : 2
['123444'],['12344'],['Floor : 3'],2023-12-29 19:42:18.657259
12333
12333
Floor : 3
['12333'],['12333'],['Floor : 2'],2023-12-29 19:43:26.874201
123331,2333123,Floor : 2,2023-12-29 19:52:43.965755
Test,Tesstt,Floor : 3,2023-12-29 19:52:55.483136
Test,SQL,Floor : 2,2023-12-29 20:47:57.393299
Test,SQL,Floor : 2,2023-12-29 20:48:14.425594
Test,SQL,Floor : 2 & Display,2023-12-30 20:04:22.310719
12333,12333,Floor : 3,2023-12-30 20:05:32.585956
1233,1233,Floor : 3,2023-12-30 20:06:49.048543
asdd,asddd,Floor : 2,2023-12-30 20:07:41.296226
12333,123333,Floor : 2,2023-12-30 20:08:18.262721
qweee,qweee,Floor : 3,2023-12-30 20:08:32.315040
asdd,asdd,Floor : 3,2023-12-30 20:10:26.884010
asddddasd,asddd,Floor : 2,2023-12-30 20:10:41.116818
12333,1233,Floor : 2,2023-12-30 20:12:18.459505
asddd,asdddd,Floor : 3,2023-12-30 20:12:31.372649
werr,werr,Floor : 2,2023-12-30 20:14:42.533929
12333,31233,Floor : 3,2023-12-30 20:17:28.646564
12333,12333,Floor : 3,2023-12-30 20:17:49.605318
12333,2222222,Floor : 2 & Display,2023-12-30 20:17:54.961966
asddd,asddd,Floor : 3,2023-12-30 20:20:23.751726
asddd,asddd,Floor : 2,2023-12-30 20:20:44.147405
asddd,asddd,Floor : 2,2023-12-30 20:20:47.454752
asddd,asdddd,Floor : 3,2023-12-30 20:20:50.945941
asddd,asddddd,Floor : 2 & Display,2023-12-30 20:20:54.804072
asddd,asddd,Floor : 2 & Display,2023-12-30 20:20:57.954457
12333,123333,Floor : 3 & Display,2023-12-30 20:24:40.728407
asdd,asdd,Floor : 2,2023-12-30 20:25:07.355674
